id,name,firstName,lastName,party,state,district,chamber,title,url,inOffice,lastUpdated
,,,,,Ohio,13.0,,,https://api.congress.gov/v3/member/S001223?format=json,False,2025-07-28T12:49:47.020344
,,,,,Ohio,7.0,,,https://api.congress.gov/v3/member/M001222?format=json,False,2025-07-28T12:49:47.020350
,,,,,New York,17.0,,,https://api.congress.gov/v3/member/L000599?format=json,False,2025-07-28T12:49:47.020355
,,,,,New York,23.0,,,https://api.congress.gov/v3/member/L000600?format=json,False,2025-07-28T12:49:47.020361
,,,,,Ohio,1.0,,,https://api.congress.gov/v3/member/L000601?format=json,False,2025-07-28T12:49:47.020367
,,,,,New York,18.0,,,https://api.congress.gov/v3/member/R000579?format=json,False,2025-07-28T12:49:47.020373
,,,,,Ohio,15.0,,,https://api.congress.gov/v3/member/C001126?format=json,False,2025-07-28T12:49:47.020378
,,,,,Ohio,11.0,,,https://api.congress.gov/v3/member/B001313?format=json,False,2025-07-28T12:49:47.020384
,,,,,New York,15.0,,,https://api.congress.gov/v3/member/T000486?format=json,False,2025-07-28T12:49:47.020390
,,,,,New York,14.0,,,https://api.congress.gov/v3/member/O000172?format=json,False,2025-07-28T12:49:47.020396
,,,,,New York,25.0,,,https://api.congress.gov/v3/member/M001206?format=json,False,2025-07-28T12:49:47.020401
,,,,,Ohio,12.0,,,https://api.congress.gov/v3/member/B001306?format=json,False,2025-07-28T12:49:47.020407
,,,,,New York,24.0,,,https://api.congress.gov/v3/member/T000478?format=json,False,2025-07-28T12:49:47.020413
,,,,,New York,13.0,,,https://api.congress.gov/v3/member/E000297?format=json,False,2025-07-28T12:49:47.020419
,,,,,Ohio,8.0,,,https://api.congress.gov/v3/member/D000626?format=json,False,2025-07-28T12:49:47.020429
,,,,,New York,21.0,,,https://api.congress.gov/v3/member/S001196?format=json,False,2025-07-28T12:49:47.020436
,,,,,Ohio,14.0,,,https://api.congress.gov/v3/member/J000295?format=json,False,2025-07-28T12:49:47.020442
,,,,,Ohio,3.0,,,https://api.congress.gov/v3/member/B001281?format=json,False,2025-07-28T12:49:47.020448
,,,,,Ohio,5.0,,,https://api.congress.gov/v3/member/L000566?format=json,False,2025-07-28T12:49:47.020454
,,,,,Ohio,4.0,,,https://api.congress.gov/v3/member/J000289?format=json,False,2025-07-28T12:49:47.020460
,,,,,New York,20.0,,,https://api.congress.gov/v3/member/T000469?format=json,False,2025-07-28T12:49:47.020466
,,,,,New York,12.0,,,https://api.congress.gov/v3/member/N000002?format=json,False,2025-07-28T12:49:47.020472
,,,,,Ohio,10.0,,,https://api.congress.gov/v3/member/T000463?format=json,False,2025-07-28T12:49:47.020478
,,,,,Ohio,9.0,,,https://api.congress.gov/v3/member/K000009?format=json,False,2025-07-28T12:49:47.020483
,,,,,New Jersey,9.0,,,https://api.congress.gov/v3/member/P000621?format=json,False,2025-07-28T12:49:47.020489
,,,,,New Hampshire,2.0,,,https://api.congress.gov/v3/member/G000604?format=json,False,2025-07-28T12:49:47.020495
,,,,,New York,4.0,,,https://api.congress.gov/v3/member/G000602?format=json,False,2025-07-28T12:49:47.020501
,,,,,New Jersey,3.0,,,https://api.congress.gov/v3/member/C001136?format=json,False,2025-07-28T12:49:47.020506
,,,,,New Mexico,2.0,,,https://api.congress.gov/v3/member/V000136?format=json,False,2025-07-28T12:49:47.020512
,,,,,New York,1.0,,,https://api.congress.gov/v3/member/L000598?format=json,False,2025-07-28T12:49:47.020518
,,,,,New Jersey,7.0,,,https://api.congress.gov/v3/member/K000398?format=json,False,2025-07-28T12:49:47.020528
,,,,,New York,10.0,,,https://api.congress.gov/v3/member/G000599?format=json,False,2025-07-28T12:49:47.020534
,,,,,New Mexico,1.0,,,https://api.congress.gov/v3/member/S001218?format=json,False,2025-07-28T12:49:47.020540
,,,,,New York,11.0,,,https://api.congress.gov/v3/member/M000317?format=json,False,2025-07-28T12:49:47.020546
,,,,,New Mexico,3.0,,,https://api.congress.gov/v3/member/L000273?format=json,False,2025-07-28T12:49:47.020551
,,,,,New York,2.0,,,https://api.congress.gov/v3/member/G000597?format=json,False,2025-07-28T12:49:47.020557
,,,,,Nevada,3.0,,,https://api.congress.gov/v3/member/L000590?format=json,False,2025-07-28T12:49:47.020563
,,,,,New Jersey,11.0,,,https://api.congress.gov/v3/member/S001207?format=json,False,2025-07-28T12:49:47.020569
,,,,,New Jersey,2.0,,,https://api.congress.gov/v3/member/V000133?format=json,False,2025-07-28T12:49:47.020575
,,,,,New Hampshire,1.0,,,https://api.congress.gov/v3/member/P000614?format=json,False,2025-07-28T12:49:47.020581
,,,,,New York,3.0,,,https://api.congress.gov/v3/member/S001201?format=json,False,2025-07-28T12:49:47.020586
,,,,,New Jersey,5.0,,,https://api.congress.gov/v3/member/G000583?format=json,False,2025-07-28T12:49:47.020592
,,,,,New Jersey,12.0,,,https://api.congress.gov/v3/member/W000822?format=json,False,2025-07-28T12:49:47.020598
,,,,,New Jersey,1.0,,,https://api.congress.gov/v3/member/N000188?format=json,False,2025-07-28T12:49:47.020604
,,,,,New York,8.0,,,https://api.congress.gov/v3/member/J000294?format=json,False,2025-07-28T12:49:47.020610
,,,,,New York,6.0,,,https://api.congress.gov/v3/member/M001188?format=json,False,2025-07-28T12:49:47.020616
,,,,,Nevada,4.0,,,https://api.congress.gov/v3/member/H001066?format=json,False,2025-07-28T12:49:47.020622
,,,,,Nevada,2.0,,,https://api.congress.gov/v3/member/A000369?format=json,False,2025-07-28T12:49:47.020628
,,,,,New York,9.0,,,https://api.congress.gov/v3/member/C001067?format=json,False,2025-07-28T12:49:47.020633
,,,,,Nevada,1.0,,,https://api.congress.gov/v3/member/T000468?format=json,False,2025-07-28T12:49:47.020639
,,,,,New Jersey,6.0,,,https://api.congress.gov/v3/member/P000034?format=json,False,2025-07-28T12:49:47.020645
,,,,,New York,5.0,,,https://api.congress.gov/v3/member/M001137?format=json,False,2025-07-28T12:49:47.020651
,,,,,New York,7.0,,,https://api.congress.gov/v3/member/V000081?format=json,False,2025-07-28T12:49:47.020657
,,,,,New Jersey,4.0,,,https://api.congress.gov/v3/member/S000522?format=json,False,2025-07-28T12:49:47.020662
,,,,,North Carolina,6.0,,,https://api.congress.gov/v3/member/M001240?format=json,False,2025-07-28T12:49:47.020668
,,,,,North Carolina,14.0,,,https://api.congress.gov/v3/member/M001236?format=json,False,2025-07-28T12:49:47.020674
